slug,question,answer
Selena_Gomez,When was Selena Gomez born?,Selena Gomez was born in 1992.
Selena_Gomez,What does Selena Gomez do?,Selena Gomez works as a singer.
Selena_Gomez,Where was Selena Gomez born?,"Selena Gomez was born in Grand Prairie, Texas."
Ariana_Grande,When was Ariana Grande born?,Ariana Grande was born in 1993.
Ariana_Grande,What does Ariana Grande do?,Ariana Grande works as a singer.
Ariana_Grande,Where was Ariana Grande born?,"Ariana Grande was born in Boca Raton, Florida."
Gigi_Hadid,When was Gigi Hadid born?,Gigi Hadid was born in 1995.
Gigi_Hadid,What does Gigi Hadid do?,Gigi Hadid works as a model.
Gigi_Hadid,Where was Gigi Hadid born?,Gigi Hadid was born in Los Angeles.
Miley_Cyrus,When was Miley Cyrus born?,Miley Cyrus was born in 1992.
Miley_Cyrus,What does Miley Cyrus do?,Miley Cyrus works as a singer.
Miley_Cyrus,Where was Miley Cyrus born?,"Miley Cyrus was born in Franklin, Tennessee."
Billie_Eilish,When was Billie Eilish born?,Billie Eilish was born in 2001.
Billie_Eilish,What does Billie Eilish do?,Billie Eilish works as a singer.
Billie_Eilish,Where was Billie Eilish born?,Billie Eilish was born in Los Angeles.
Halsey_(singer),When was Halsey born?,Halsey was born in 1994.
Halsey_(singer),What does Halsey do?,Halsey works as a singer.
Halsey_(singer),Where was Halsey born?,"Halsey was born in Edison, New Jersey."
Kylie_Jenner,When was Kylie Jenner born?,Kylie Jenner was born in 1997.
Kylie_Jenner,What does Kylie Jenner do?,Kylie Jenner works as a model.
Kylie_Jenner,Where was Kylie Jenner born?,Kylie Jenner was born in Los Angeles.
Dakota_Fanning,When was Dakota Fanning born?,Dakota Fanning was born in 1994.
Dakota_Fanning,What does Dakota Fanning do?,Dakota Fanning works as a actor.
Dakota_Fanning,Where was Dakota Fanning born?,"Dakota Fanning was born in Conyers, Georgia."
Demi_Lovato,When was Demi Lovato born?,Demi Lovato was born in 1992.
Demi_Lovato,What does Demi Lovato do?,Demi Lovato works as a singer.
Demi_Lovato,Where was Demi Lovato born?,"Demi Lovato was born in Albuquerque, New Mexico."
Emma_Roberts,When was Emma Roberts born?,Emma Roberts was born in 1991.
Emma_Roberts,What does Emma Roberts do?,Emma Roberts works as a actor.
Emma_Roberts,Where was Emma Roberts born?,"Emma Roberts was born in Rhinebeck (village), New York."
Kendall_Jenner,When was Kendall Jenner born?,Kendall Jenner was born in 1995.
Kendall_Jenner,What does Kendall Jenner do?,Kendall Jenner works as a model.
Kendall_Jenner,Where was Kendall Jenner born?,Kendall Jenner was born in Los Angeles.
Zendaya,When was Zendaya born?,Zendaya was born in 1996.
Zendaya,What does Zendaya do?,Zendaya works as a actor.
Zendaya,Where was Zendaya born?,"Zendaya was born in Oakland, California."
Shailene_Woodley,When was Shailene Woodley born?,Shailene Woodley was born in 1991.
Shailene_Woodley,What does Shailene Woodley do?,Shailene Woodley works as a actor.
Shailene_Woodley,Where was Shailene Woodley born?,"Shailene Woodley was born in San Bernardino, California."
Saoirse_Ronan,When was Saoirse Ronan born?,Saoirse Ronan was born in 1994.
Saoirse_Ronan,What does Saoirse Ronan do?,Saoirse Ronan works as a actor.
Saoirse_Ronan,Where was Saoirse Ronan born?,Saoirse Ronan was born in New York City.
Chloë_Grace_Moretz,When was Chloë Grace Moretz born?,Chloë Grace Moretz was born in 1997.
Chloë_Grace_Moretz,What does Chloë Grace Moretz do?,Chloë Grace Moretz works as a actor.
Chloë_Grace_Moretz,Where was Chloë Grace Moretz born?,Chloë Grace Moretz was born in Atlanta.
Cardi_B,When was Cardi B born?,Cardi B was born in 1992.
Cardi_B,What does Cardi B do?,Cardi B works as a actor.
Cardi_B,Where was Cardi B born?,Cardi B was born in New York City.
Joey_King,When was Joey King born?,Joey King was born in 1999.
Joey_King,What does Joey King do?,Joey King works as a actor.
Joey_King,Where was Joey King born?,Joey King was born in Los Angeles.
Sabrina_Carpenter,When was Sabrina Carpenter born?,Sabrina Carpenter was born in 1999.
Sabrina_Carpenter,What does Sabrina Carpenter do?,Sabrina Carpenter works as a actor.
Sabrina_Carpenter,Where was Sabrina Carpenter born?,Sabrina Carpenter was born in Lehigh Valley.
Elizabeth_Gillies,When was Elizabeth Gillies born?,Elizabeth Gillies was born in 1993.
Elizabeth_Gillies,What does Elizabeth Gillies do?,Elizabeth Gillies works as a actor.
Elizabeth_Gillies,Where was Elizabeth Gillies born?,"Elizabeth Gillies was born in Haworth, New Jersey."
Elle_Fanning,When was Elle Fanning born?,Elle Fanning was born in 1998.
Elle_Fanning,What does Elle Fanning do?,Elle Fanning works as a actor.
Elle_Fanning,Where was Elle Fanning born?,"Elle Fanning was born in Conyers, Georgia."
Bella_Thorne,When was Bella Thorne born?,Bella Thorne was born in 1997.
Bella_Thorne,What does Bella Thorne do?,Bella Thorne works as a actor.
Bella_Thorne,Where was Bella Thorne born?,"Bella Thorne was born in Pembroke Pines, Florida."
Taylor_Momsen,When was Taylor Momsen born?,Taylor Momsen was born in 1993.
Taylor_Momsen,What does Taylor Momsen do?,Taylor Momsen works as a actor.
Taylor_Momsen,Where was Taylor Momsen born?,Taylor Momsen was born in St. Louis.
Camila_Mendes,When was Camila Mendes born?,Camila Mendes was born in 1994.
Camila_Mendes,What does Camila Mendes do?,Camila Mendes works as a actor.
Camila_Mendes,Where was Camila Mendes born?,"Camila Mendes was born in Charlottesville, Virginia."
Maddie_Ziegler,When was Maddie Ziegler born?,Maddie Ziegler was born in 2002.
Maddie_Ziegler,What does Maddie Ziegler do?,Maddie Ziegler works as a actor.
Maddie_Ziegler,Where was Maddie Ziegler born?,Maddie Ziegler was born in Pittsburgh.
Sofia_Carson,When was Sofia Carson born?,Sofia Carson was born in 1993.
Sofia_Carson,What does Sofia Carson do?,Sofia Carson works as a actor.
Sofia_Carson,Where was Sofia Carson born?,"Sofia Carson was born in Fort Lauderdale, Florida."
Dove_Cameron,When was Dove Cameron born?,Dove Cameron was born in 1996.
Dove_Cameron,What does Dove Cameron do?,Dove Cameron works as a actor.
Dove_Cameron,Where was Dove Cameron born?,Dove Cameron was born in Seattle.
Ava_Max,When was Ava Max born?,Ava Max was born in 1994.
Ava_Max,What does Ava Max do?,Ava Max works as a singer.
Ava_Max,Where was Ava Max born?,Ava Max was born in Milwaukee.
Victoria_Justice,When was Victoria Justice born?,Victoria Justice was born in 1993.
Victoria_Justice,What does Victoria Justice do?,Victoria Justice works as a actor.
Victoria_Justice,Where was Victoria Justice born?,"Victoria Justice was born in Hollywood, Florida."
Madelaine_Petsch,When was Madelaine Petsch born?,Madelaine Petsch was born in 1994.
Madelaine_Petsch,What does Madelaine Petsch do?,Madelaine Petsch works as a actor.
Madelaine_Petsch,Where was Madelaine Petsch born?,"Madelaine Petsch was born in Port Orchard, Washington."
Lili_Reinhart,When was Lili Reinhart born?,Lili Reinhart was born in 1996.
Lili_Reinhart,What does Lili Reinhart do?,Lili Reinhart works as a actor.
Lili_Reinhart,Where was Lili Reinhart born?,Lili Reinhart was born in Cleveland.
Miranda_Cosgrove,When was Miranda Cosgrove born?,Miranda Cosgrove was born in 1993.
Miranda_Cosgrove,What does Miranda Cosgrove do?,Miranda Cosgrove works as a actor.
Miranda_Cosgrove,Where was Miranda Cosgrove born?,Miranda Cosgrove was born in Los Angeles.
Abigail_Breslin,When was Abigail Breslin born?,Abigail Breslin was born in 1996.
Abigail_Breslin,What does Abigail Breslin do?,Abigail Breslin works as a actor.
Abigail_Breslin,Where was Abigail Breslin born?,Abigail Breslin was born in New York City.
Bella_Hadid,When was Bella Hadid born?,Bella Hadid was born in 1996.
Bella_Hadid,What does Bella Hadid do?,Bella Hadid works as a model.
Bella_Hadid,Where was Bella Hadid born?,"Bella Hadid was born in Washington, D.C.."
Debby_Ryan,When was Debby Ryan born?,Debby Ryan was born in 1993.
Debby_Ryan,What does Debby Ryan do?,Debby Ryan works as a actor.
Debby_Ryan,Where was Debby Ryan born?,"Debby Ryan was born in Huntsville, Alabama."
AnnaSophia_Robb,When was AnnaSophia Robb born?,AnnaSophia Robb was born in 1993.
AnnaSophia_Robb,What does AnnaSophia Robb do?,AnnaSophia Robb works as a actor.
AnnaSophia_Robb,Where was AnnaSophia Robb born?,AnnaSophia Robb was born in Denver.
Hailee_Steinfeld,When was Hailee Steinfeld born?,Hailee Steinfeld was born in 1996.
Hailee_Steinfeld,What does Hailee Steinfeld do?,Hailee Steinfeld works as a actor.
Hailee_Steinfeld,Where was Hailee Steinfeld born?,"Hailee Steinfeld was born in Tarzana, Los Angeles."
Willa_Holland,When was Willa Holland born?,Willa Holland was born in 1991.
Willa_Holland,What does Willa Holland do?,Willa Holland works as a actor.
Willa_Holland,Where was Willa Holland born?,Willa Holland was born in Los Angeles.
Jennette_McCurdy,When was Jennette McCurdy born?,Jennette McCurdy was born in 1992.
Jennette_McCurdy,What does Jennette McCurdy do?,Jennette McCurdy works as a actor.
Jennette_McCurdy,Where was Jennette McCurdy born?,"Jennette McCurdy was born in Long Beach, California."
Taissa_Farmiga,When was Taissa Farmiga born?,Taissa Farmiga was born in 1994.
Taissa_Farmiga,What does Taissa Farmiga do?,Taissa Farmiga works as a actor.
Taissa_Farmiga,Where was Taissa Farmiga born?,"Taissa Farmiga was born in Whitehouse Station, New Jersey."
Molly_Quinn,When was Molly Quinn born?,Molly Quinn was born in 1993.
Molly_Quinn,What does Molly Quinn do?,Molly Quinn works as a actor.
Molly_Quinn,Where was Molly Quinn born?,"Molly Quinn was born in Texarkana, Texas."
Mackenzie_Foy,When was Mackenzie Foy born?,Mackenzie Foy was born in 2000.
Mackenzie_Foy,What does Mackenzie Foy do?,Mackenzie Foy works as a actor.
Mackenzie_Foy,Where was Mackenzie Foy born?,Mackenzie Foy was born in Los Angeles.
Becky_G,When was Becky G born?,Becky G was born in 1997.
Becky_G,What does Becky G do?,Becky G works as a singer.
Becky_G,Where was Becky G born?,"Becky G was born in Inglewood, California."
Kate_Upton,When was Kate Upton born?,Kate Upton was born in 1992.
Kate_Upton,What does Kate Upton do?,Kate Upton works as a model.
Kate_Upton,Where was Kate Upton born?,"Kate Upton was born in St. Joseph, Michigan."
Tiffany_Trump,When was Tiffany Trump born?,Tiffany Trump was born in 1993.
Tiffany_Trump,What does Tiffany Trump do?,Tiffany Trump works as a singer.
Tiffany_Trump,Where was Tiffany Trump born?,"Tiffany Trump was born in West Palm Beach, Florida."
Natalia_Dyer,When was Natalia Dyer born?,Natalia Dyer was born in 1995.
Natalia_Dyer,What does Natalia Dyer do?,Natalia Dyer works as a actor.
Natalia_Dyer,Where was Natalia Dyer born?,"Natalia Dyer was born in Nashville, Tennessee."
Emily_Osment,When was Emily Osment born?,Emily Osment was born in 1992.
Emily_Osment,What does Emily Osment do?,Emily Osment works as a actor.
Emily_Osment,Where was Emily Osment born?,Emily Osment was born in Los Angeles.
Jamie_Lynn_Spears,When was Jamie Lynn Spears born?,Jamie Lynn Spears was born in 1991.
Jamie_Lynn_Spears,What does Jamie Lynn Spears do?,Jamie Lynn Spears works as a actor.
Jamie_Lynn_Spears,Where was Jamie Lynn Spears born?,"Jamie Lynn Spears was born in McComb, Mississippi."
Simone_Biles,When was Simone Biles born?,Simone Biles was born in 1997.
Simone_Biles,What does Simone Biles do?,Simone Biles works as a gymnast.
Simone_Biles,Where was Simone Biles born?,"Simone Biles was born in Columbus, Ohio."
Anya_Taylor-Joy,When was Anya Taylor-Joy born?,Anya Taylor-Joy was born in 1996.
Anya_Taylor-Joy,What does Anya Taylor-Joy do?,Anya Taylor-Joy works as a actor.
Anya_Taylor-Joy,Where was Anya Taylor-Joy born?,Anya Taylor-Joy was born in Miami.
Nicola_Peltz,When was Nicola Peltz born?,Nicola Peltz was born in 1995.
Nicola_Peltz,What does Nicola Peltz do?,Nicola Peltz works as a actor.
Nicola_Peltz,Where was Nicola Peltz born?,"Nicola Peltz was born in Westchester County, New York."
Mikaela_Shiffrin,When was Mikaela Shiffrin born?,Mikaela Shiffrin was born in 1995.
Mikaela_Shiffrin,What does Mikaela Shiffrin do?,Mikaela Shiffrin works as a skier.
Mikaela_Shiffrin,Where was Mikaela Shiffrin born?,"Mikaela Shiffrin was born in Vail, Colorado."
Isabelle_Fuhrman,When was Isabelle Fuhrman born?,Isabelle Fuhrman was born in 1997.
Isabelle_Fuhrman,What does Isabelle Fuhrman do?,Isabelle Fuhrman works as a actor.
Isabelle_Fuhrman,Where was Isabelle Fuhrman born?,"Isabelle Fuhrman was born in Washington, D.C.."
Kiernan_Shipka,When was Kiernan Shipka born?,Kiernan Shipka was born in 1999.
Kiernan_Shipka,What does Kiernan Shipka do?,Kiernan Shipka works as a actor.
Kiernan_Shipka,Where was Kiernan Shipka born?,Kiernan Shipka was born in Chicago.
Vanessa_Marano,When was Vanessa Marano born?,Vanessa Marano was born in 1992.
Vanessa_Marano,What does Vanessa Marano do?,Vanessa Marano works as a actor.
Vanessa_Marano,Where was Vanessa Marano born?,Vanessa Marano was born in Los Angeles.
Margaret_Qualley,When was Margaret Qualley born?,Margaret Qualley was born in 1994.
Margaret_Qualley,What does Margaret Qualley do?,Margaret Qualley works as a actor.
Margaret_Qualley,Where was Margaret Qualley born?,"Margaret Qualley was born in Kalispell, Montana."
Karen_Fukuhara,When was Karen Fukuhara born?,Karen Fukuhara was born in 1992.
Karen_Fukuhara,What does Karen Fukuhara do?,Karen Fukuhara works as a actor.
Karen_Fukuhara,Where was Karen Fukuhara born?,Karen Fukuhara was born in Los Angeles.
Normani,When was Normani born?,Normani was born in 1996.
Normani,What does Normani do?,Normani works as a singer.
Normani,Where was Normani born?,Normani was born in Atlanta.
Katherine_McNamara,When was Katherine McNamara born?,Katherine McNamara was born in 1995.
Katherine_McNamara,What does Katherine McNamara do?,Katherine McNamara works as a actor.
Katherine_McNamara,Where was Katherine McNamara born?,"Katherine McNamara was born in Kansas City, Missouri."
Bridgit_Mendler,When was Bridgit Mendler born?,Bridgit Mendler was born in 1992.
Bridgit_Mendler,What does Bridgit Mendler do?,Bridgit Mendler works as a actor.
Bridgit_Mendler,Where was Bridgit Mendler born?,"Bridgit Mendler was born in Washington, D.C.."
Hailey_Baldwin,When was Hailey Baldwin born?,Hailey Baldwin was born in 1996.
Hailey_Baldwin,What does Hailey Baldwin do?,Hailey Baldwin works as a model.
Hailey_Baldwin,Where was Hailey Baldwin born?,"Hailey Baldwin was born in Tucson, Arizona."
Sadie_Sink,When was Sadie Sink born?,Sadie Sink was born in 2002.
Sadie_Sink,What does Sadie Sink do?,Sadie Sink works as a actor.
Sadie_Sink,Where was Sadie Sink born?,"Sadie Sink was born in Brenham, Texas."
Grace_VanderWaal,When was Grace VanderWaal born?,Grace VanderWaal was born in 2004.
Grace_VanderWaal,What does Grace VanderWaal do?,Grace VanderWaal works as a musician.
Grace_VanderWaal,Where was Grace VanderWaal born?,"Grace VanderWaal was born in Lenexa, Kansas."
Willow_Smith,When was Willow Smith born?,Willow Smith was born in 2000.
Willow_Smith,What does Willow Smith do?,Willow Smith works as a singer.
Willow_Smith,Where was Willow Smith born?,Willow Smith was born in Los Angeles.
Elizabeth_Lail,When was Elizabeth Lail born?,Elizabeth Lail was born in 1992.
Elizabeth_Lail,What does Elizabeth Lail do?,Elizabeth Lail works as a actor.
Elizabeth_Lail,Where was Elizabeth Lail born?,"Elizabeth Lail was born in Williamson County, Texas."
Alexa_Bliss,When was Alexa Bliss born?,Alexa Bliss was born in 1991.
Alexa_Bliss,What does Alexa Bliss do?,Alexa Bliss works as a wrestler.
Alexa_Bliss,Where was Alexa Bliss born?,"Alexa Bliss was born in Columbus, Ohio."
Chloe_Bennet,When was Chloe Bennet born?,Chloe Bennet was born in 1992.
Chloe_Bennet,What does Chloe Bennet do?,Chloe Bennet works as a actor.
Chloe_Bennet,Where was Chloe Bennet born?,Chloe Bennet was born in Chicago.
Danielle_Campbell,When was Danielle Campbell born?,Danielle Campbell was born in 1995.
Danielle_Campbell,What does Danielle Campbell do?,Danielle Campbell works as a actor.
Danielle_Campbell,Where was Danielle Campbell born?,"Danielle Campbell was born in Hinsdale, Illinois."
Ariel_Winter,When was Ariel Winter born?,Ariel Winter was born in 1998.
Ariel_Winter,What does Ariel Winter do?,Ariel Winter works as a actor.
Ariel_Winter,Where was Ariel Winter born?,"Ariel Winter was born in Fairfax, Virginia."
Laura_Marano,When was Laura Marano born?,Laura Marano was born in 1995.
Laura_Marano,What does Laura Marano do?,Laura Marano works as a actor.
Laura_Marano,Where was Laura Marano born?,Laura Marano was born in Los Angeles.
Bhad_Bhabie,When was Bhad Bhabie born?,Bhad Bhabie was born in 2003.
Bhad_Bhabie,What does Bhad Bhabie do?,Bhad Bhabie works as a singer.
Bhad_Bhabie,Where was Bhad Bhabie born?,"Bhad Bhabie was born in Boynton Beach, Florida."
Sophia_Lillis,When was Sophia Lillis born?,Sophia Lillis was born in 2002.
Sophia_Lillis,What does Sophia Lillis do?,Sophia Lillis works as a actor.
Sophia_Lillis,Where was Sophia Lillis born?,Sophia Lillis was born in Brooklyn.
Meghan_Trainor,When was Meghan Trainor born?,Meghan Trainor was born in 1993.
Meghan_Trainor,What does Meghan Trainor do?,Meghan Trainor works as a musician.
Meghan_Trainor,Where was Meghan Trainor born?,Meghan Trainor was born in Nantucket.
Alyson_Stoner,When was Alyson Stoner born?,Alyson Stoner was born in 1993.
Alyson_Stoner,What does Alyson Stoner do?,Alyson Stoner works as a actor.
Alyson_Stoner,Where was Alyson Stoner born?,"Alyson Stoner was born in Toledo, Ohio."
Megan_Thee_Stallion,When was Megan Thee Stallion born?,Megan Thee Stallion was born in 1995.
Megan_Thee_Stallion,What does Megan Thee Stallion do?,Megan Thee Stallion works as a singer.
Megan_Thee_Stallion,Where was Megan Thee Stallion born?,"Megan Thee Stallion was born in Bexar County, Texas."
Zoey_Deutch,When was Zoey Deutch born?,Zoey Deutch was born in 1994.
Zoey_Deutch,What does Zoey Deutch do?,Zoey Deutch works as a actor.
Zoey_Deutch,Where was Zoey Deutch born?,Zoey Deutch was born in Los Angeles.
Joe_Keery,When was Joe Keery born?,Joe Keery was born in 1992.
Joe_Keery,What does Joe Keery do?,Joe Keery works as a actor.
Joe_Keery,Where was Joe Keery born?,"Joe Keery was born in Newburyport, Massachusetts."
Maya_Hawke,When was Maya Hawke born?,Maya Hawke was born in 1998.
Maya_Hawke,What does Maya Hawke do?,Maya Hawke works as a actor.
Maya_Hawke,Where was Maya Hawke born?,Maya Hawke was born in New York City.
Doja_Cat,When was Doja Cat born?,Doja Cat was born in 1995.
Doja_Cat,What does Doja Cat do?,Doja Cat works as a singer.
Doja_Cat,Where was Doja Cat born?,Doja Cat was born in Los Angeles.
Kathryn_Newton,When was Kathryn Newton born?,Kathryn Newton was born in 1997.
Kathryn_Newton,What does Kathryn Newton do?,Kathryn Newton works as a actor.
Kathryn_Newton,Where was Kathryn Newton born?,"Kathryn Newton was born in Orlando, Florida."
Lauren_Jauregui,When was Lauren Jauregui born?,Lauren Jauregui was born in 1996.
Lauren_Jauregui,What does Lauren Jauregui do?,Lauren Jauregui works as a singer.
Lauren_Jauregui,Where was Lauren Jauregui born?,Lauren Jauregui was born in Miami.
Paris_Jackson,When was Paris Jackson born?,Paris Jackson was born in 1998.
Paris_Jackson,What does Paris Jackson do?,Paris Jackson works as a actor.
Paris_Jackson,Where was Paris Jackson born?,"Paris Jackson was born in Beverly Hills, California."
Madison_Beer,When was Madison Beer born?,Madison Beer was born in 1999.
Madison_Beer,What does Madison Beer do?,Madison Beer works as a singer.
Madison_Beer,Where was Madison Beer born?,"Madison Beer was born in Jericho, New York."
Sasha_Banks,When was Sasha Banks born?,Sasha Banks was born in 1992.
Sasha_Banks,What does Sasha Banks do?,Sasha Banks works as a wrestler.
Sasha_Banks,Where was Sasha Banks born?,"Sasha Banks was born in Fairfield, California."
Malese_Jow,When was Malese Jow born?,Malese Jow was born in 1991.
Malese_Jow,What does Malese Jow do?,Malese Jow works as a actor.
Malese_Jow,Where was Malese Jow born?,"Malese Jow was born in Tulsa, Oklahoma."
Camren_Bicondova,When was Camren Bicondova born?,Camren Bicondova was born in 1999.
Camren_Bicondova,What does Camren Bicondova do?,Camren Bicondova works as a actor.
Camren_Bicondova,Where was Camren Bicondova born?,Camren Bicondova was born in San Diego.
Eden_Sher,When was Eden Sher born?,Eden Sher was born in 1991.
Eden_Sher,What does Eden Sher do?,Eden Sher works as a actor.
Eden_Sher,Where was Eden Sher born?,Eden Sher was born in Los Angeles.
Noah_Cyrus,When was Noah Cyrus born?,Noah Cyrus was born in 2000.
Noah_Cyrus,What does Noah Cyrus do?,Noah Cyrus works as a actor.
Noah_Cyrus,Where was Noah Cyrus born?,"Noah Cyrus was born in Nashville, Tennessee."
Amber_Liu_(singer),When was Amber Liu born?,Amber Liu was born in 1992.
Amber_Liu_(singer),What does Amber Liu do?,Amber Liu works as a singer.
Amber_Liu_(singer),Where was Amber Liu born?,Amber Liu was born in Los Angeles.
Ciara_Bravo,When was Ciara Bravo born?,Ciara Bravo was born in 1997.
Ciara_Bravo,What does Ciara Bravo do?,Ciara Bravo works as a actor.
Ciara_Bravo,Where was Ciara Bravo born?,"Ciara Bravo was born in Alexandria, Kentucky."
Isabela_Moner,When was Isabela Moner born?,Isabela Moner was born in 2001.
Isabela_Moner,What does Isabela Moner do?,Isabela Moner works as a actor.
Isabela_Moner,Where was Isabela Moner born?,Isabela Moner was born in Cleveland.
Nicole_Jung,When was Nicole Jung born?,Nicole Jung was born in 1991.
Nicole_Jung,What does Nicole Jung do?,Nicole Jung works as a singer.
Nicole_Jung,Where was Nicole Jung born?,Nicole Jung was born in Los Angeles.
Willa_Fitzgerald,When was Willa Fitzgerald born?,Willa Fitzgerald was born in 1991.
Willa_Fitzgerald,What does Willa Fitzgerald do?,Willa Fitzgerald works as a actor.
Willa_Fitzgerald,Where was Willa Fitzgerald born?,"Willa Fitzgerald was born in Nashville, Tennessee."
Karlie_Kloss,When was Karlie Kloss born?,Karlie Kloss was born in 1992.
Karlie_Kloss,What does Karlie Kloss do?,Karlie Kloss works as a model.
Karlie_Kloss,Where was Karlie Kloss born?,Karlie Kloss was born in Chicago.
Alexandra_Shipp,When was Alexandra Shipp born?,Alexandra Shipp was born in 1991.
Alexandra_Shipp,What does Alexandra Shipp do?,Alexandra Shipp works as a actor.
Alexandra_Shipp,Where was Alexandra Shipp born?,"Alexandra Shipp was born in Phoenix, Arizona."
Jaeden_Martell,When was Jaeden Martell born?,Jaeden Martell was born in 2003.
Jaeden_Martell,What does Jaeden Martell do?,Jaeden Martell works as a actor.
