slug,question,answer
Jaeden_Martell,Where was Jaeden Martell born?,Jaeden Martell was born in Philadelphia.
Caleb_McLaughlin,When was Caleb McLaughlin born?,Caleb McLaughlin was born in 2001.
Caleb_McLaughlin,What does Caleb McLaughlin do?,Caleb McLaughlin works as a actor.
Caleb_McLaughlin,Where was Caleb McLaughlin born?,"Caleb McLaughlin was born in Carmel, New York."
Olivia_Culpo,When was Olivia Culpo born?,Olivia Culpo was born in 1992.
Olivia_Culpo,What does Olivia Culpo do?,Olivia Culpo works as a celebrity.
Olivia_Culpo,Where was Olivia Culpo born?,"Olivia Culpo was born in Cranston, Rhode Island."
Liza_Koshy,When was Liza Koshy born?,Liza Koshy was born in 1996.
Liza_Koshy,What does Liza Koshy do?,Liza Koshy works as a youtuber.
Liza_Koshy,Where was Liza Koshy born?,Liza Koshy was born in Houston.
Tori_Kelly,When was Tori Kelly born?,Tori Kelly was born in 1992.
Tori_Kelly,What does Tori Kelly do?,Tori Kelly works as a singer.
Tori_Kelly,Where was Tori Kelly born?,"Tori Kelly was born in Wildomar, California."
Jennifer_Stone,When was Jennifer Stone born?,Jennifer Stone was born in 1993.
Jennifer_Stone,What does Jennifer Stone do?,Jennifer Stone works as a actor.
Jennifer_Stone,Where was Jennifer Stone born?,"Jennifer Stone was born in Arlington, Texas."
Erin_Sanders,When was Erin Sanders born?,Erin Sanders was born in 1991.
Erin_Sanders,What does Erin Sanders do?,Erin Sanders works as a actor.
Erin_Sanders,Where was Erin Sanders born?,"Erin Sanders was born in Santa Monica, California."
Willow_Shields,When was Willow Shields born?,Willow Shields was born in 2000.
Willow_Shields,What does Willow Shields do?,Willow Shields works as a actor.
Willow_Shields,Where was Willow Shields born?,"Willow Shields was born in Albuquerque, New Mexico."
India_Eisley,When was India Eisley born?,India Eisley was born in 1993.
India_Eisley,What does India Eisley do?,India Eisley works as a actor.
India_Eisley,Where was India Eisley born?,India Eisley was born in Los Angeles.
Bailee_Madison,When was Bailee Madison born?,Bailee Madison was born in 1999.
Bailee_Madison,What does Bailee Madison do?,Bailee Madison works as a actor.
Bailee_Madison,Where was Bailee Madison born?,"Bailee Madison was born in Fort Lauderdale, Florida."
Frances_Bean_Cobain,When was Frances Bean Cobain born?,Frances Bean Cobain was born in 1992.
Frances_Bean_Cobain,What does Frances Bean Cobain do?,Frances Bean Cobain works as a journalist.
Frances_Bean_Cobain,Where was Frances Bean Cobain born?,Frances Bean Cobain was born in Los Angeles.
China_Anne_McClain,When was China Anne McClain born?,China Anne McClain was born in 1998.
China_Anne_McClain,What does China Anne McClain do?,China Anne McClain works as a actor.
China_Anne_McClain,Where was China Anne McClain born?,"China Anne McClain was born in Decatur, Georgia."
Julia_Garner,When was Julia Garner born?,Julia Garner was born in 1994.
Julia_Garner,What does Julia Garner do?,Julia Garner works as a actor.
Julia_Garner,Where was Julia Garner born?,Julia Garner was born in The Bronx.
Kristine_Froseth,When was Kristine Froseth born?,Kristine Froseth was born in 1996.
Kristine_Froseth,What does Kristine Froseth do?,Kristine Froseth works as a actor.
Kristine_Froseth,Where was Kristine Froseth born?,Kristine Froseth was born in New Jersey.
Alexa_Nikolas,When was Alexa Nikolas born?,Alexa Nikolas was born in 1992.
Alexa_Nikolas,What does Alexa Nikolas do?,Alexa Nikolas works as a actor.
Alexa_Nikolas,Where was Alexa Nikolas born?,Alexa Nikolas was born in Chicago.
Lil_Uzi_Vert,When was Lil Uzi Vert born?,Lil Uzi Vert was born in 1994.
Lil_Uzi_Vert,What does Lil Uzi Vert do?,Lil Uzi Vert works as a singer.
Lil_Uzi_Vert,Where was Lil Uzi Vert born?,Lil Uzi Vert was born in Philadelphia.
Mckenna_Grace,When was Mckenna Grace born?,Mckenna Grace was born in 2006.
Mckenna_Grace,What does Mckenna Grace do?,Mckenna Grace works as a actor.
Mckenna_Grace,Where was Mckenna Grace born?,"Mckenna Grace was born in Grapevine, Texas."
Erin_Moriarty_(actress),When was Erin Moriarty born?,Erin Moriarty was born in 1994.
Erin_Moriarty_(actress),What does Erin Moriarty do?,Erin Moriarty works as a actor.
Erin_Moriarty_(actress),Where was Erin Moriarty born?,Erin Moriarty was born in New York City.
Spencer_Locke,When was Spencer Locke born?,Spencer Locke was born in 1991.
Spencer_Locke,What does Spencer Locke do?,Spencer Locke works as a actor.
Spencer_Locke,Where was Spencer Locke born?,"Spencer Locke was born in Winter Park, Florida."
Tony_Revolori,When was Tony Revolori born?,Tony Revolori was born in 1996.
Tony_Revolori,What does Tony Revolori do?,Tony Revolori works as a actor.
Tony_Revolori,Where was Tony Revolori born?,"Tony Revolori was born in Anaheim, California."
Keke_Palmer,When was Keke Palmer born?,Keke Palmer was born in 1993.
Keke_Palmer,What does Keke Palmer do?,Keke Palmer works as a actor.
Keke_Palmer,Where was Keke Palmer born?,"Keke Palmer was born in Harvey, Illinois."
Ashley_Rickards,When was Ashley Rickards born?,Ashley Rickards was born in 1992.
Ashley_Rickards,What does Ashley Rickards do?,Ashley Rickards works as a actor.
Ashley_Rickards,Where was Ashley Rickards born?,"Ashley Rickards was born in Sarasota, Florida."
Madeline_Carroll,When was Madeline Carroll born?,Madeline Carroll was born in 1996.
Madeline_Carroll,What does Madeline Carroll do?,Madeline Carroll works as a actor.
Madeline_Carroll,Where was Madeline Carroll born?,Madeline Carroll was born in Los Angeles.
Jasmine_Tookes,When was Jasmine Tookes born?,Jasmine Tookes was born in 1991.
Jasmine_Tookes,What does Jasmine Tookes do?,Jasmine Tookes works as a model.
Jasmine_Tookes,Where was Jasmine Tookes born?,"Jasmine Tookes was born in Huntington Beach, California."
Stefanie_Scott,When was Stefanie Scott born?,Stefanie Scott was born in 1996.
Stefanie_Scott,What does Stefanie Scott do?,Stefanie Scott works as a actor.
Stefanie_Scott,Where was Stefanie Scott born?,Stefanie Scott was born in Chicago.
Azealia_Banks,When was Azealia Banks born?,Azealia Banks was born in 1991.
Azealia_Banks,What does Azealia Banks do?,Azealia Banks works as a actor.
Azealia_Banks,Where was Azealia Banks born?,Azealia Banks was born in New York City.
Asher_Angel,When was Asher Angel born?,Asher Angel was born in 2002.
Asher_Angel,What does Asher Angel do?,Asher Angel works as a actor.
Asher_Angel,Where was Asher Angel born?,"Asher Angel was born in Phoenix, Arizona."
Chloe_Bridges,When was Chloe Bridges born?,Chloe Bridges was born in 1991.
Chloe_Bridges,What does Chloe Bridges do?,Chloe Bridges works as a actor.
Chloe_Bridges,Where was Chloe Bridges born?,"Chloe Bridges was born in Houma, Louisiana."
Gabby_Douglas,When was Gabby Douglas born?,Gabby Douglas was born in 1995.
Gabby_Douglas,What does Gabby Douglas do?,Gabby Douglas works as a gymnast.
Gabby_Douglas,Where was Gabby Douglas born?,"Gabby Douglas was born in Newport News, Virginia."
Katie_Ledecky,When was Katie Ledecky born?,Katie Ledecky was born in 1997.
Katie_Ledecky,What does Katie Ledecky do?,Katie Ledecky works as a swimmer.
Katie_Ledecky,Where was Katie Ledecky born?,"Katie Ledecky was born in Washington, D.C.."
Julia_Michaels,When was Julia Michaels born?,Julia Michaels was born in 1993.
Julia_Michaels,What does Julia Michaels do?,Julia Michaels works as a singer.
Julia_Michaels,Where was Julia Michaels born?,"Julia Michaels was born in Davenport, Iowa."
Ryan_Newman_(actress),When was Ryan Newman born?,Ryan Newman was born in 1998.
Ryan_Newman_(actress),What does Ryan Newman do?,Ryan Newman works as a actor.
Ryan_Newman_(actress),Where was Ryan Newman born?,"Ryan Newman was born in Manhattan Beach, California."
Kaitlyn_Dever,When was Kaitlyn Dever born?,Kaitlyn Dever was born in 1996.
Kaitlyn_Dever,What does Kaitlyn Dever do?,Kaitlyn Dever works as a actor.
Kaitlyn_Dever,Where was Kaitlyn Dever born?,"Kaitlyn Dever was born in Phoenix, Arizona."
Rowan_Blanchard,When was Rowan Blanchard born?,Rowan Blanchard was born in 2001.
Rowan_Blanchard,What does Rowan Blanchard do?,Rowan Blanchard works as a actor.
Rowan_Blanchard,Where was Rowan Blanchard born?,Rowan Blanchard was born in Los Angeles.
Sky_Ferreira,When was Sky Ferreira born?,Sky Ferreira was born in 1992.
Sky_Ferreira,What does Sky Ferreira do?,Sky Ferreira works as a singer.
Sky_Ferreira,Where was Sky Ferreira born?,Sky Ferreira was born in Los Angeles.
Rebecca_Black,When was Rebecca Black born?,Rebecca Black was born in 1997.
Rebecca_Black,What does Rebecca Black do?,Rebecca Black works as a singer.
Rebecca_Black,Where was Rebecca Black born?,"Rebecca Black was born in Irvine, California."
Jolene_Marie_Rotinsulu,When was Jolene Marie Rotinsulu born?,Jolene Marie Rotinsulu was born in 1996.
Jolene_Marie_Rotinsulu,What does Jolene Marie Rotinsulu do?,Jolene Marie Rotinsulu works as a model.
Jolene_Marie_Rotinsulu,Where was Jolene Marie Rotinsulu born?,"Jolene Marie Rotinsulu was born in Santa Ana, California."
Bianca_Ryan,When was Bianca Ryan born?,Bianca Ryan was born in 1994.
Bianca_Ryan,What does Bianca Ryan do?,Bianca Ryan works as a actor.
Bianca_Ryan,Where was Bianca Ryan born?,"Bianca Ryan was born in Ocean City, New Jersey."
Quavo,When was Quavo born?,Quavo was born in 1991.
Quavo,What does Quavo do?,Quavo works as a singer.
Quavo,Where was Quavo born?,"Quavo was born in Athens, Georgia."
Kaia_Gerber,When was Kaia Gerber born?,Kaia Gerber was born in 2001.
Kaia_Gerber,What does Kaia Gerber do?,Kaia Gerber works as a model.
Kaia_Gerber,Where was Kaia Gerber born?,Kaia Gerber was born in Los Angeles.
Makenzie_Vega,When was Makenzie Vega born?,Makenzie Vega was born in 1994.
Makenzie_Vega,What does Makenzie Vega do?,Makenzie Vega works as a actor.
Makenzie_Vega,Where was Makenzie Vega born?,Makenzie Vega was born in Los Angeles.
Alexis_Jordan,When was Alexis Jordan born?,Alexis Jordan was born in 1992.
Alexis_Jordan,What does Alexis Jordan do?,Alexis Jordan works as a singer.
Alexis_Jordan,Where was Alexis Jordan born?,"Alexis Jordan was born in Columbia, South Carolina."
Liv_Morgan,When was Liv Morgan born?,Liv Morgan was born in 1994.
Liv_Morgan,What does Liv Morgan do?,Liv Morgan works as a wrestler.
Liv_Morgan,Where was Liv Morgan born?,"Liv Morgan was born in Paramus, New Jersey."
Sydney_Sweeney,When was Sydney Sweeney born?,Sydney Sweeney was born in 1997.
Sydney_Sweeney,What does Sydney Sweeney do?,Sydney Sweeney works as a actor.
Sydney_Sweeney,Where was Sydney Sweeney born?,"Sydney Sweeney was born in Spokane, Washington."
Kelsey_Chow,When was Kelsey Chow born?,Kelsey Chow was born in 1991.
Kelsey_Chow,What does Kelsey Chow do?,Kelsey Chow works as a actor.
Kelsey_Chow,Where was Kelsey Chow born?,"Kelsey Chow was born in Columbia, South Carolina."
McKayla_Maroney,When was McKayla Maroney born?,McKayla Maroney was born in 1995.
McKayla_Maroney,What does McKayla Maroney do?,McKayla Maroney works as a gymnast.
McKayla_Maroney,Where was McKayla Maroney born?,"McKayla Maroney was born in Aliso Viejo, California."
Tinashe,When was Tinashe born?,Tinashe was born in 1993.
Tinashe,What does Tinashe do?,Tinashe works as a actor.
Tinashe,Where was Tinashe born?,"Tinashe was born in Lexington, Kentucky."
Seychelle_Gabriel,When was Seychelle Gabriel born?,Seychelle Gabriel was born in 1991.
Seychelle_Gabriel,What does Seychelle Gabriel do?,Seychelle Gabriel works as a actor.
Seychelle_Gabriel,Where was Seychelle Gabriel born?,"Seychelle Gabriel was born in Burbank, California."
Jenna_Ortega,When was Jenna Ortega born?,Jenna Ortega was born in 2002.
Jenna_Ortega,What does Jenna Ortega do?,Jenna Ortega works as a actor.
Jenna_Ortega,Where was Jenna Ortega born?,Jenna Ortega was born in Coachella Valley.
Lizzy_Greene,When was Lizzy Greene born?,Lizzy Greene was born in 2003.
Lizzy_Greene,What does Lizzy Greene do?,Lizzy Greene works as a actor.
Lizzy_Greene,Where was Lizzy Greene born?,Lizzy Greene was born in Dallas.
O'Shea_Jackson_Jr.,When was O'Shea Jackson Jr. born?,O'Shea Jackson Jr. was born in 1991.
O'Shea_Jackson_Jr.,What does O'Shea Jackson Jr. do?,O'Shea Jackson Jr. works as a actor.
O'Shea_Jackson_Jr.,Where was O'Shea Jackson Jr. born?,O'Shea Jackson Jr. was born in Los Angeles.
Quvenzhané_Wallis,When was Quvenzhané Wallis born?,Quvenzhané Wallis was born in 2003.
Quvenzhané_Wallis,What does Quvenzhané Wallis do?,Quvenzhané Wallis works as a actor.
Quvenzhané_Wallis,Where was Quvenzhané Wallis born?,"Quvenzhané Wallis was born in Houma, Louisiana."
Caroline_Sunshine,When was Caroline Sunshine born?,Caroline Sunshine was born in 1995.
Caroline_Sunshine,What does Caroline Sunshine do?,Caroline Sunshine works as a actor.
Caroline_Sunshine,Where was Caroline Sunshine born?,Caroline Sunshine was born in Atlanta.
Missy_Franklin,When was Missy Franklin born?,Missy Franklin was born in 1995.
Missy_Franklin,What does Missy Franklin do?,Missy Franklin works as a swimmer.
Missy_Franklin,Where was Missy Franklin born?,"Missy Franklin was born in Pasadena, California."
Kiersey_Clemons,When was Kiersey Clemons born?,Kiersey Clemons was born in 1993.
Kiersey_Clemons,What does Kiersey Clemons do?,Kiersey Clemons works as a actor.
Kiersey_Clemons,Where was Kiersey Clemons born?,"Kiersey Clemons was born in Pensacola, Florida."
"Princess_Leonore,_Duchess_of_Gotland","When was Princess Leonore, Duchess of Gotland born?","Princess Leonore, Duchess of Gotland was born in 2014."
"Princess_Leonore,_Duchess_of_Gotland","What does Princess Leonore, Duchess of Gotland do?","Princess Leonore, Duchess of Gotland works as a nobleman."
"Princess_Leonore,_Duchess_of_Gotland","Where was Princess Leonore, Duchess of Gotland born?","Princess Leonore, Duchess of Gotland was born in New York City."
Daya_(singer),When was Daya born?,Daya was born in 1998.
Daya_(singer),What does Daya do?,Daya works as a singer.
Daya_(singer),Where was Daya born?,Daya was born in Pittsburgh.
Beanie_Feldstein,When was Beanie Feldstein born?,Beanie Feldstein was born in 1993.
Beanie_Feldstein,What does Beanie Feldstein do?,Beanie Feldstein works as a actor.
Beanie_Feldstein,Where was Beanie Feldstein born?,Beanie Feldstein was born in Los Angeles.
Kelli_Berglund,When was Kelli Berglund born?,Kelli Berglund was born in 1996.
Kelli_Berglund,What does Kelli Berglund do?,Kelli Berglund works as a actor.
Kelli_Berglund,Where was Kelli Berglund born?,"Kelli Berglund was born in Moorpark, California."
Madison_De_La_Garza,When was Madison De La Garza born?,Madison De La Garza was born in 2001.
Madison_De_La_Garza,What does Madison De La Garza do?,Madison De La Garza works as a actor.
Madison_De_La_Garza,Where was Madison De La Garza born?,Madison De La Garza was born in Dallas.
Mackenzie_Ziegler,When was Mackenzie Ziegler born?,Mackenzie Ziegler was born in 2004.
Mackenzie_Ziegler,What does Mackenzie Ziegler do?,Mackenzie Ziegler works as a actor.
Mackenzie_Ziegler,Where was Mackenzie Ziegler born?,Mackenzie Ziegler was born in Pittsburgh.
Madilyn_Bailey,When was Madilyn Bailey born?,Madilyn Bailey was born in 1992.
Madilyn_Bailey,What does Madilyn Bailey do?,Madilyn Bailey works as a singer.
Madilyn_Bailey,Where was Madilyn Bailey born?,"Madilyn Bailey was born in Boyceville, Wisconsin."
Katie_Stevens,When was Katie Stevens born?,Katie Stevens was born in 1992.
Katie_Stevens,What does Katie Stevens do?,Katie Stevens works as a actor.
Katie_Stevens,Where was Katie Stevens born?,"Katie Stevens was born in Southbury, Connecticut."
Yuka_Momiki,When was Yuka Momiki born?,Yuka Momiki was born in 1996.
Yuka_Momiki,What does Yuka Momiki do?,Yuka Momiki works as a soccer player.
Yuka_Momiki,Where was Yuka Momiki born?,Yuka Momiki was born in New York City.
Ruby_Riott,When was Ruby Riott born?,Ruby Riott was born in 1991.
Ruby_Riott,What does Ruby Riott do?,Ruby Riott works as a wrestler.
Ruby_Riott,Where was Ruby Riott born?,"Ruby Riott was born in Edwardsburg, Michigan."
Bea_Miller,When was Bea Miller born?,Bea Miller was born in 1999.
Bea_Miller,What does Bea Miller do?,Bea Miller works as a singer.
Bea_Miller,Where was Bea Miller born?,Bea Miller was born in Manhattan.
Olivia_Olson,When was Olivia Olson born?,Olivia Olson was born in 1992.
Olivia_Olson,What does Olivia Olson do?,Olivia Olson works as a actor.
Olivia_Olson,Where was Olivia Olson born?,Olivia Olson was born in Los Angeles.
Jackie_Evancho,When was Jackie Evancho born?,Jackie Evancho was born in 2000.
Jackie_Evancho,What does Jackie Evancho do?,Jackie Evancho works as a singer.
Jackie_Evancho,Where was Jackie Evancho born?,Jackie Evancho was born in Pittsburgh.
Yara_Shahidi,When was Yara Shahidi born?,Yara Shahidi was born in 2000.
Yara_Shahidi,What does Yara Shahidi do?,Yara Shahidi works as a actor.
Yara_Shahidi,Where was Yara Shahidi born?,Yara Shahidi was born in Minneapolis.
Francesca_Capaldi,When was Francesca Capaldi born?,Francesca Capaldi was born in 2004.
Francesca_Capaldi,What does Francesca Capaldi do?,Francesca Capaldi works as a actor.
Francesca_Capaldi,Where was Francesca Capaldi born?,Francesca Capaldi was born in La Jolla.
Angel_Haze,When was Angel Haze born?,Angel Haze was born in 1991.
Angel_Haze,What does Angel Haze do?,Angel Haze works as a singer.
Angel_Haze,Where was Angel Haze born?,Angel Haze was born in Detroit.
Cierra_Ramirez,When was Cierra Ramirez born?,Cierra Ramirez was born in 1995.
Cierra_Ramirez,What does Cierra Ramirez do?,Cierra Ramirez works as a actor.
Cierra_Ramirez,Where was Cierra Ramirez born?,Cierra Ramirez was born in Houston.
Gracie_Gold,When was Gracie Gold born?,Gracie Gold was born in 1995.
Gracie_Gold,What does Gracie Gold do?,Gracie Gold works as a skater.
Gracie_Gold,Where was Gracie Gold born?,"Gracie Gold was born in Newton, Massachusetts."
Chloe_Kim,When was Chloe Kim born?,Chloe Kim was born in 2000.
Chloe_Kim,What does Chloe Kim do?,Chloe Kim works as a athlete.
Chloe_Kim,Where was Chloe Kim born?,"Chloe Kim was born in Long Beach, California."
Taylor_Spreitler,When was Taylor Spreitler born?,Taylor Spreitler was born in 1993.
Taylor_Spreitler,What does Taylor Spreitler do?,Taylor Spreitler works as a actor.
Taylor_Spreitler,Where was Taylor Spreitler born?,"Taylor Spreitler was born in Hattiesburg, Mississippi."
Raquel_Castro,When was Raquel Castro born?,Raquel Castro was born in 1994.
Raquel_Castro,What does Raquel Castro do?,Raquel Castro works as a actor.
Raquel_Castro,Where was Raquel Castro born?,Raquel Castro was born in New York City.
Jordyn_Wieber,When was Jordyn Wieber born?,Jordyn Wieber was born in 1995.
Jordyn_Wieber,What does Jordyn Wieber do?,Jordyn Wieber works as a gymnast.
Jordyn_Wieber,Where was Jordyn Wieber born?,"Jordyn Wieber was born in DeWitt, Michigan."
Allie_Grant,When was Allie Grant born?,Allie Grant was born in 1994.
Allie_Grant,What does Allie Grant do?,Allie Grant works as a actor.
Allie_Grant,Where was Allie Grant born?,"Allie Grant was born in Tupelo, Mississippi."
JoJo_Siwa,When was JoJo Siwa born?,JoJo Siwa was born in 2003.
JoJo_Siwa,What does JoJo Siwa do?,JoJo Siwa works as a youtuber.
JoJo_Siwa,Where was JoJo Siwa born?,"JoJo Siwa was born in Omaha, Nebraska."
Victoria_Monét,When was Victoria Monét born?,Victoria Monét was born in 1993.
Victoria_Monét,What does Victoria Monét do?,Victoria Monét works as a singer.
Victoria_Monét,Where was Victoria Monét born?,Victoria Monét was born in Georgia (U.S. state).
Liza_Soberano,When was Liza Soberano born?,Liza Soberano was born in 1998.
Liza_Soberano,What does Liza Soberano do?,Liza Soberano works as a actor.
Liza_Soberano,Where was Liza Soberano born?,"Liza Soberano was born in Santa Clara, California."
Melanie_Amaro,When was Melanie Amaro born?,Melanie Amaro was born in 1992.
Melanie_Amaro,What does Melanie Amaro do?,Melanie Amaro works as a singer.
Melanie_Amaro,Where was Melanie Amaro born?,"Melanie Amaro was born in Fort Lauderdale, Florida."
Kaitlyn_Maher,When was Kaitlyn Maher born?,Kaitlyn Maher was born in 2004.
Kaitlyn_Maher,What does Kaitlyn Maher do?,Kaitlyn Maher works as a actor.
Kaitlyn_Maher,Where was Kaitlyn Maher born?,Kaitlyn Maher was born in Michigan.
Allison_Iraheta,When was Allison Iraheta born?,Allison Iraheta was born in 1992.
Allison_Iraheta,What does Allison Iraheta do?,Allison Iraheta works as a singer.
Allison_Iraheta,Where was Allison Iraheta born?,"Allison Iraheta was born in Glendale, California."
Laurie_Hernandez,When was Laurie Hernandez born?,Laurie Hernandez was born in 2000.
Laurie_Hernandez,What does Laurie Hernandez do?,Laurie Hernandez works as a gymnast.
Laurie_Hernandez,Where was Laurie Hernandez born?,"Laurie Hernandez was born in Old Bridge Township, New Jersey."
Carly_Rose_Sonenclar,When was Carly Rose Sonenclar born?,Carly Rose Sonenclar was born in 1999.
Carly_Rose_Sonenclar,What does Carly Rose Sonenclar do?,Carly Rose Sonenclar works as a singer.
Carly_Rose_Sonenclar,Where was Carly Rose Sonenclar born?,Carly Rose Sonenclar was born in New York City.
Lauren_Alaina,When was Lauren Alaina born?,Lauren Alaina was born in 1994.
Lauren_Alaina,What does Lauren Alaina do?,Lauren Alaina works as a singer.
Lauren_Alaina,Where was Lauren Alaina born?,"Lauren Alaina was born in Rossville, Georgia."
Isabella_Acres,When was Isabella Acres born?,Isabella Acres was born in 2001.
Isabella_Acres,What does Isabella Acres do?,Isabella Acres works as a actor.
Isabella_Acres,Where was Isabella Acres born?,Isabella Acres was born in Atlanta.
Karley_Scott_Collins,When was Karley Scott Collins born?,Karley Scott Collins was born in 1999.
Karley_Scott_Collins,What does Karley Scott Collins do?,Karley Scott Collins works as a actor.
Karley_Scott_Collins,Where was Karley Scott Collins born?,Karley Scott Collins was born in Florida.
Bridget_Sloan,When was Bridget Sloan born?,Bridget Sloan was born in 1992.
Bridget_Sloan,What does Bridget Sloan do?,Bridget Sloan works as a gymnast.
Bridget_Sloan,Where was Bridget Sloan born?,Bridget Sloan was born in Cincinnati.
Dee_Dee_Davis,When was Dee Dee Davis born?,Dee Dee Davis was born in 1996.
Dee_Dee_Davis,What does Dee Dee Davis do?,Dee Dee Davis works as a actor.
Dee_Dee_Davis,Where was Dee Dee Davis born?,"Dee Dee Davis was born in Culver City, California."
Charli_D'Amelio,When was Charli D'Amelio born?,Charli D'Amelio was born in 2004.
Charli_D'Amelio,What does Charli D'Amelio do?,Charli D'Amelio works as a youtuber.
Charli_D'Amelio,Where was Charli D'Amelio born?,"Charli D'Amelio was born in Norwalk, Connecticut."
